entity: /year
unit of measure: petajoule
aggSubSectorsEnr,fuelTypeAgg,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"Transportation","electricity",1.797000e+00,1.596000e+00,1.939000e+00,2.490000e+00,2.596000e+00,2.909000e+00,2.647000e+00,2.801000e+00,2.879000e+00,2.840000e+00,2.921000e+00,3.036000e+00,3.099000e+00,3.065000e+00,2.943000e+00,2.913000e+00,2.960000e+00,2.992000e+00,3.024000e+00,2.973000e+00,2.857000e+00,3.007000e+00,3.123000e+00,3.074000e+00,3.350000e+00,3.385000e+00,3.456000e+00,3.534000e+00,3.496000e+00
"Transportation","petroleum",1.727357e+03,1.855667e+03,1.897585e+03,1.854156e+03,1.693633e+03,1.616347e+03,1.686671e+03,1.692251e+03,1.698637e+03,1.755887e+03,1.850107e+03,1.887438e+03,1.835170e+03,1.762942e+03,1.799843e+03,1.833884e+03,1.930201e+03,1.964409e+03,2.004491e+03,2.080979e+03,2.159366e+03,2.222298e+03,2.257833e+03,2.252490e+03,2.285878e+03,2.341797e+03,2.444063e+03,2.482071e+03,2.471484e+03
"Transportation","coal",0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
"Transportation","naturalgas",0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.710592e-03,3.071294e-01,5.255142e-01,9.005973e-01,1.347207e+00,2.084640e+00,2.588374e+00,2.519952e+00,2.888312e+00,2.708387e+00,2.965582e+00,2.368486e+00,2.330476e+00,2.604057e+00,2.150593e+00,1.842036e+00,2.044414e+00,1.895746e+00,1.688953e+00,1.375755e+00,1.247287e+00,1.052255e+00,1.212834e+00,1.533691e+00,1.934833e+00
"Transportation","biomass",0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.267087e-01,1.041018e+00,1.318999e+00,1.388516e+00,1.388502e+00,1.388438e+00,2.083808e+00,6.101744e+00,6.979144e+00,7.920087e+00,8.348230e+00,8.776729e+00,9.204784e+00,9.634904e+00,1.006617e+01
"Residential/Commercial","electricity",6.139789e+02,6.274619e+02,6.586707e+02,6.894969e+02,7.103899e+02,7.109850e+02,7.297516e+02,7.659140e+02,8.003164e+02,8.287932e+02,8.840783e+02,9.294187e+02,9.143328e+02,9.457957e+02,9.640843e+02,9.897506e+02,9.915935e+02,1.000075e+03,1.016481e+03,1.026762e+03,9.830806e+02,1.003193e+03,1.037086e+03,1.023868e+03,1.073725e+03,1.098505e+03,1.101837e+03,1.105216e+03,1.073345e+03
"Residential/Commercial","petroleum",5.241524e+02,4.831040e+02,5.013384e+02,4.726185e+02,4.501553e+02,3.946236e+02,3.685147e+02,3.294719e+02,2.974060e+02,2.682516e+02,2.781508e+02,2.884894e+02,2.384353e+02,2.369732e+02,2.434660e+02,2.426395e+02,2.290708e+02,2.223738e+02,2.217512e+02,2.191812e+02,1.817802e+02,1.855887e+02,2.083792e+02,2.083397e+02,2.191624e+02,2.553805e+02,2.558657e+02,2.529527e+02,2.206212e+02
"Residential/Commercial","coal",7.993060e-01,8.283930e-01,8.599059e-01,9.063278e-01,1.283278e+00,1.037632e+00,9.342593e-01,7.179326e-01,6.374078e-01,3.753307e-01,4.758664e-01,1.885283e-01,1.932978e-01,1.298483e-01,9.013946e-04,0.000000e+00,1.639883e-01,1.942052e-02,0.000000e+00,0.000000e+00,1.031103e-02,0.000000e+00,5.387150e-02,2.704304e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.338074e-04,0.000000e+00
"Residential/Commercial","naturalgas",7.277577e+02,7.444280e+02,7.678992e+02,7.716327e+02,8.972128e+02,8.790266e+02,9.133921e+02,9.639451e+02,9.201892e+02,8.231883e+02,9.120407e+02,9.969184e+02,9.237319e+02,9.563141e+02,9.839417e+02,1.047446e+03,1.059953e+03,1.077404e+03,1.156989e+03,1.094358e+03,9.717601e+02,1.017744e+03,1.116751e+03,1.062794e+03,1.138308e+03,1.178790e+03,1.130280e+03,1.117900e+03,1.050118e+03
"Residential/Commercial","biomass",5.325297e+01,5.805437e+01,6.966263e+01,7.037576e+01,8.188210e+01,8.384852e+01,8.576047e+01,9.232480e+01,8.530296e+01,8.341412e+01,9.323719e+01,1.014375e+02,8.195481e+01,8.360090e+01,8.625763e+01,8.942659e+01,8.868224e+01,9.052747e+01,9.175815e+01,1.002615e+02,8.208223e+01,9.026202e+01,1.003966e+02,9.292743e+01,9.934197e+01,1.088290e+02,1.058745e+02,1.035711e+02,9.032899e+01
