entity: /year
unit of measure: petajoule
energyClass,dispType,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"refPetPrd","production",3.712686e+03,3.793618e+03,3.753143e+03,3.542104e+03,3.207393e+03,3.076427e+03,2.973306e+03,3.040016e+03,2.946769e+03,3.059635e+03,3.313970e+03,3.388988e+03,3.392994e+03,3.289240e+03,3.232594e+03,3.290352e+03,3.293973e+03,3.374898e+03,3.518728e+03,3.597924e+03,3.618200e+03,3.776479e+03,3.847203e+03,3.932357e+03,4.021978e+03,4.195987e+03,4.282579e+03,4.154031e+03,4.049121e+03
"refPetPrd","use",3.508260e+03,3.635638e+03,3.621684e+03,3.433695e+03,3.074267e+03,2.942640e+03,2.898464e+03,2.861070e+03,2.863524e+03,2.939844e+03,3.056876e+03,3.198370e+03,3.045412e+03,2.895564e+03,2.922589e+03,2.930438e+03,3.022136e+03,3.087445e+03,3.170880e+03,3.301971e+03,3.382537e+03,3.440849e+03,3.486676e+03,3.496273e+03,3.486363e+03,3.699657e+03,3.861443e+03,3.906585e+03,3.804109e+03
"refPetPrd","exports",3.244809e+02,2.335663e+02,2.332819e+02,2.122037e+02,2.419495e+02,2.682904e+02,2.857175e+02,3.686730e+02,3.447350e+02,5.196964e+02,7.130351e+02,7.145743e+02,7.560680e+02,7.477836e+02,6.861546e+02,7.247245e+02,6.530615e+02,6.882507e+02,7.447486e+02,7.850277e+02,7.552951e+02,8.219921e+02,8.054111e+02,9.872192e+02,1.023397e+03,1.170811e+03,1.183359e+03,1.147132e+03,1.135179e+03
"refPetPrd","imports",1.200556e+02,7.558684e+01,1.018230e+02,1.037948e+02,1.088241e+02,1.345031e+02,2.108762e+02,1.897273e+02,2.614895e+02,3.999051e+02,4.559415e+02,5.239567e+02,4.084857e+02,3.541073e+02,3.761495e+02,3.648107e+02,3.812235e+02,4.007982e+02,3.969004e+02,4.890743e+02,5.196322e+02,4.863628e+02,4.448845e+02,5.511354e+02,4.877827e+02,6.744814e+02,7.622231e+02,8.996864e+02,8.901665e+02
"hydrogen","production",0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
"hydrogen","use",0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
"hydrogen","exports",0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
"hydrogen","imports",0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
"otherLiqFuel","production",0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.357900e-01,2.357900e-01,2.357900e-01,2.357900e-01,2.357900e-01,2.357900e-01,2.357900e-01,3.536850e-01,3.536850e-01,9.667390e-01,1.202529e+00,1.202529e+00,1.201588e+00,1.197860e+00,1.189688e+00,4.712716e+00,4.692815e+00,4.667438e+00,4.638275e+00,4.607384e+00,4.576665e+00,4.545269e+00,4.508331e+00,4.533636e+00,1.409005e+01
"otherLiqFuel","use",0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.267087e-01,1.041018e+00,1.318999e+00,1.388516e+00,1.388502e+00,1.388438e+00,2.083808e+00,6.101744e+00,6.979144e+00,7.920087e+00,8.348230e+00,8.776728e+00,9.204784e+00,9.634906e+00,1.006617e+01
"otherLiqFuel","exports",0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.357900e-01,2.357900e-01,2.357900e-01,2.357900e-01,2.357900e-01,2.357900e-01,2.357900e-01,3.536850e-01,3.536850e-01,9.667390e-01,4.758204e-01,1.615113e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.819438e+00,2.844797e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.569199e-02,5.222585e+00
"otherLiqFuel","imports",0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.516582e-08,1.677722e-08,1.174110e-01,1.906563e-01,1.988142e-01,4.951589e-01,2.357901e-01,1.434306e+00,2.340869e+00,3.312703e+00,3.771565e+00,4.231459e+00,4.696453e+00,5.176961e+00,1.198701e+00
"electricity","production",1.241197e+03,1.302410e+03,1.350811e+03,1.412837e+03,1.399358e+03,1.428464e+03,1.528572e+03,1.627445e+03,1.662261e+03,1.756630e+03,1.772248e+03,1.744498e+03,1.664685e+03,1.780771e+03,1.831492e+03,1.884071e+03,1.961331e+03,1.980753e+03,2.023232e+03,2.027065e+03,1.962143e+03,2.010597e+03,2.110294e+03,2.038738e+03,2.084183e+03,2.059587e+03,2.081737e+03,2.174932e+03,2.101885e+03
"electricity","use",9.502233e+02,9.886409e+02,1.033280e+03,1.079349e+03,1.077180e+03,1.105641e+03,1.166652e+03,1.263975e+03,1.327952e+03,1.390236e+03,1.496283e+03,1.558453e+03,1.509919e+03,1.555080e+03,1.570558e+03,1.617237e+03,1.637397e+03,1.670104e+03,1.714314e+03,1.705964e+03,1.666252e+03,1.704691e+03,1.776300e+03,1.764492e+03,1.814037e+03,1.837417e+03,1.835654e+03,1.869576e+03,1.836633e+03
